2021-09-30,164.2519989013672
2021-10-01,164.16299438476562
2021-10-04,159.48899841308594
2021-10-05,161.0500030517578
2021-10-06,163.10049438476562
2021-10-07,165.1215057373047
2021-10-08,164.43099975585938
2021-10-11,162.31500244140625
2021-10-12,162.3665008544922
2021-10-13,164.21400451660156
2021-10-14,164.9929962158203
2021-10-15,170.4510040283203
2021-10-18,172.33700561523438
2021-10-19,172.20750427246094
2021-10-20,170.7530059814453
2021-10-21,171.75050354003906
2021-10-22,166.77749633789062
2021-10-25,166.01849365234375
2021-10-26,168.80349731445312
2021-10-27,169.62449645996094
2021-10-28,172.32850646972656
2021-10-29,168.6215057373047
2021-11-01,165.90550231933594
2021-11-02,165.6374969482422
2021-11-03,169.1999969482422
2021-11-04,173.85000610351562
2021-11-05,175.94949340820312
2021-11-08,174.44900512695312
2021-11-09,178.81149291992188
2021-11-10,174.1024932861328
2021-11-11,173.625
2021-11-12,176.25750732421875
2021-11-15,177.28399658203125
2021-11-16,177.03500366210938
2021-11-17,177.4499969482422
2021-11-18,184.80299377441406
2021-11-19,183.82850646972656
2021-11-22,178.6284942626953
2021-11-23,179.0019989013672
2021-11-24,179.02049255371094
2021-11-26,175.22799682617188
2021-11-29,178.07850646972656
2021-11-30,175.35350036621094
2021-12-01,172.18600463867188
2021-12-02,171.8679962158203
2021-12-03,169.489501953125
2021-12-06,171.36849975585938
2021-12-07,176.1645050048828
2021-12-08,176.1580047607422
2021-12-09,174.17100524902344
2021-12-10,172.21200561523438
2021-12-13,169.5675048828125
2021-12-14,169.0915069580078
2021-12-15,173.31500244140625
2021-12-16,168.87100219726562
2021-12-17,170.0175018310547
2021-12-20,167.07899475097656
2021-12-21,170.41700744628906
2021-12-22,171.03700256347656
2021-12-23,171.06849670410156
2021-12-27,169.66949462890625
2021-12-28,170.66099548339844
2021-12-29,169.2010040283203
2021-12-30,168.64450073242188
2021-12-31,166.7169952392578
2022-01-03,170.4044952392578
2022-01-04,167.52200317382812
2022-01-05,164.35699462890625
2022-01-06,163.25399780273438
2022-01-07,162.5540008544922
2022-01-10,161.48599243164062
2022-01-11,165.36199951171875
2022-01-12,165.20700073242188
2022-01-13,161.21400451660156
2022-01-14,162.13800048828125
2022-01-18,158.91749572753906
2022-01-19,156.2989959716797
2022-01-20,151.66749572753906
2022-01-21,142.64300537109375
2022-01-24,144.54400634765625
2022-01-25,139.98599243164062
2022-01-26,138.87249755859375
2022-01-27,139.6374969482422
2022-01-28,143.97799682617188
2022-01-31,149.57350158691406
2022-02-01,151.19349670410156
2022-02-02,150.6125030517578
2022-02-03,138.8455047607422
2022-02-04,157.63949584960938
2022-02-07,157.9355010986328
2022-02-08,161.4134979248047
2022-02-09,161.1894989013672
2022-02-10,159.0034942626953
2022-02-11,153.2935028076172
2022-02-14,155.16700744628906
2022-02-15,156.510498046875
2022-02-16,158.10049438476562
2022-02-17,154.65249633789062
2022-02-18,152.60150146484375
2022-02-22,150.19749450683594
2022-02-23,144.82699584960938
2022-02-24,151.35800170898438
2022-02-25,153.7884979248047
2022-02-28,153.56300354003906
2022-03-01,151.14199829101562
2022-03-02,152.05250549316406
2022-03-03,147.89849853515625
2022-03-04,145.64100646972656
2022-03-07,137.4530029296875
2022-03-08,136.01449584960938
2022-03-09,139.2790069580078
2022-03-10,146.8175048828125
2022-03-11,145.52450561523438
2022-03-14,141.85299682617188
2022-03-15,147.3665008544922
2022-03-16,153.10400390625
2022-03-17,157.23899841308594
2022-03-18,161.25050354003906
2022-03-21,161.4915008544922
2022-03-22,164.88900756835938
2022-03-23,163.4080047607422
2022-03-24,163.64950561523438
2022-03-25,164.77349853515625
2022-03-28,168.99049377441406
2022-03-29,169.31500244140625
2022-03-30,166.30099487304688
2022-03-31,162.99749755859375
2022-04-01,163.55999755859375
2022-04-04,168.34649658203125
2022-04-05,164.05499267578125
2022-04-06,158.75599670410156
2022-04-07,157.7845001220703
2022-04-08,154.4604949951172
2022-04-11,151.1219940185547
2022-04-12,150.78750610351562
2022-04-13,155.54100036621094
2022-04-14,151.7064971923828
2022-04-18,152.78500366210938
2022-04-19,158.11549377441406
2022-04-20,153.9980010986328
2022-04-21,148.29600524902344
2022-04-22,144.35000610351562
2022-04-25,146.07400512695312
2022-04-26,139.39100646972656
2022-04-27,138.16700744628906
2022-04-28,144.59649658203125
2022-04-29,124.28150177001953
2022-05-02,124.5
2022-05-03,124.25350189208984
2022-05-04,125.92849731445312
2022-05-05,116.40699768066406
2022-05-06,114.77249908447266
2022-05-09,108.78900146484375
2022-05-10,108.85900115966797
2022-05-11,105.37200164794922
2022-05-12,106.93049621582031
2022-05-13,113.05500030517578
2022-05-16,110.81050109863281
2022-05-17,115.36849975585938
2022-05-18,107.11250305175781
2022-05-19,107.31900024414062
2022-05-20,107.59100341796875
2022-05-23,107.55699920654297
2022-05-24,104.0999984741211
2022-05-25,106.7750015258789
2022-05-26,111.07749938964844
2022-05-27,115.14649963378906
2022-05-31,120.20950317382812
